"","headline","clickbait"
"31334","LTTE strikes Sri Lanka capital",0
"27793","San Francisco Reporter, 90, Covers Science Beat With Verve",0
"6473","21 Photos That Are Way Too Real For Makeup Addicts",1
"31207","Seven bushfires near Perth, Western Australia",0
"15191","Meet The Five New Playable Characters From ""Battleborn""",1
"23379","U.S. superbug expected to emerge in Canada",0
"28278","Explosion and fire kill three at Indian petrochemical plant",0
"9714","18 Things You'll Only Know If You're Not A Morning Person",1
"858","17 Dramatic Transformations That Prove The Power Of The Weave",1
"14128","These Drawings Perfectly Sum Up Your Relationship With Your Partner",1
"6763","For People Who Need More Uzo Aduba In Their Lives",1
"29248","Woman shot dead by police officer in Kent, England",0
"9182","11 Times You're Actually #Blessed",1
"31743","Financial Safety Net of Nonprofit Organizations Is Fraying, Survey Finds",0
"11367","We Need To Talk About Kesha",1
"16700","Cellphone Abilities That Go Untapped",0
"29747","Fall '08 styles at New York Fashion Week: the '70s are back",0
"733","17 Mouthwatering Ways To Have A Love Affair With Strawberries",1
"13602","Carrie Bradshaw's 23 Most Iconic Lines On ""Sex And The City""",1
"14986","24 Perfectly Cozy And Delicious Treats To Bake This Fall",1
"6273","26 People Who Got Shittier Christmas Gifts Than You",1
"4907","David Beckham Just Got Romeo The Best Birthday Present",1
"5051","22 Signs You're Middle-Aged Before Your Time",1
"2330","This Touching Photo Of A Bride And Her Service Dog Is Going Viral",1
"9359","Do You Have The Best Photo Of A Kid Freaking Out With Santa",1
"28090","US Federal Reserve lifts interest rates",0
"6429","This Quiz Will Tell You How You Communicate",1
"3992","Where In The South Should You Vacay Based On Your Zodiac Sign",1
"1706","This Artist Painted Lin-Manuel Miranda's ""Hamilton"" On A Ten-Dollar Bill",1
"31792","Villanova Avoids an Upset by American",0
"501","31 Ways You Know You're DEFINITELY a DC Native",1
"11980","What Does Your Favorite Penis-Themed Cake Say About Your Sense Of Humor",1
"6655","What Misconceptions Are You Sick Of Hearing About Being Bi",1
"15655","Which IKEA Product Are You",1
"16920","US unemployment rate reaches 9.4 percent",0
"15029","Watch Your Favourite Comedians Perform For Their Toughest Audience Yet: 8-Year-Olds",1
"29660","San Diego ends Colts' bid for perfect season",0
"11478","Which ""Friends"" Character Should You Date Based On Your Food Preferences",1
"16168","Artist Defies Web Censors in a Rebuke of China",0
"6881","23 Things You'll Only Understand If You're Low-Key Obsessed With MAC Lipstick",1
"23891","Analysis Shows German Fossil to Be Early Primate",0
"7514","People Try Chatroulette For The First Time",1
"3747","We Know Your Favorite Adult ""Harry Potter"" Character Based On Your Favorite Social Media Site",1
"21547","Vestas plant in Newport, England shuts down",0
"29697","NY Sen. Monserrate found guilty of misdemeanor assault",0
"29","16 Signs You Are Too Stubborn To Live",1
"11854","Could You Pass Your Defence Against The Dark Arts O.W.L",1
"1942","This Video About NYC's Feral Cats Is Fascinating",1
"4934","18 Struggles Everyone Who Hates Crowds Will Relate To",1
"18204","Rural African school goes to Sweden for environment award",0
"13940","Tell Us About Your Most Heartwarming Celebrity Encounter",1
"18665","Russian meeting with Hamas provokes criticism from Israel",0
"25893","For Obama, Rare Chance for Bold Start on Big Task",0
"29245","Nelson Mandela hospitalised again with lung infection recurrence",0
"18350","Boston rings in the new year",0
"24945","Girl's flu case found to be drug-resistant",0
"27075","With Another Shutout, Capitals Force Rangers to Game 6",0
"4182","If Tattoo Artists Were Honest",1
"21987","Revenue Drops as Sprint Nextel Loses Subscribers",0
"14663","28 Chocolate And Peanut Butter Treats That Are Even Better Than Reese's",1
"22126","Judge in Gambian court warns media not to cover case",0
"8547","19 Tumblr Posts About ""Harry Potter"" That Will Make Your Day",1
"22323","Sony unveils Playstation 3",0
"23340","Wikipedia features Encyclopædia Britannica on its main page",0
"25649","Scotland suffers severe flooding following downpour",0
"24937","Nigerian election result will not be annulled",0
"25916","Hamas wins Palestinian election",0
"9458","This Is What Disney Heroes And Villians Look Like With Their Faces Swapped",1
"15800","27 Hilarious Tweets About Med School That Will Make You Laugh Then Cry",1
"6902","17 Wicked Items That'll Bring Out Your Inner Disney Villain",1
"26417","The Many Sources Governing Warfare",0
"19250","Former South African official Jacob Zuma charged with rape",0
"12535","11 Music Videos That Will Make You Feel High AF",1
"25327","Representative Tom DeLay not seeking future Majority Leader position",0
"219","Ryan Phillippe Comes For Amy Schumer In This Deleted ""Trainwreck"" Scene",1
"24711","Los Angeles City Council to sue police officer accused of filing a false report",0
"12399","19 Times ""Freaks And Geeks"" Perfectly Portrayed High School",1
"16916","Former Japanese prime minister Hashimoto indicated his retirement",0
"14713","Sit Down Right Now And Watch The Rock Hit The Quan",1
"29080","World Bank continues its support of Moldovan private sector development",0
"3123","17 Dramatic Celebrity Eyebrow Evolutions Of 2015",1
"13877","Men Describe Their Dream Wedding",1
"25488","Last-Place Cyclist Fighting to Avoid Broom Wagon at Tour de France",0
"6611","The 25 Funniest Things Ever Snapchatted",1
"28004","'Homer Simpson' contributes to U.S. presidential candidate Buddy Roemer",0
"18562","Reports Underscore Weakness of Economy",0
"5936","When Your BF Has A Female BFF",1
"7233","Which Year Of The 2010 Decade (So Far) Are You",1
"22316","Bankruptcy Fuels Fear Over Preakness",0
"20839","Amid New Faces, Alissa Czisny Is First in Short Program",0
"18537","Steelers, Cardinals win championship games to advance to Super Bowl XLIII",0
"17532","Bush speaks of goals for U.S. withdrawal from Iraq, decries calls for timetable",0
"14330","Can We Guess When You'll Get Married Based On Random Questions",1
"1101","7 Reasons To Listen To BuzzFeed's New Podcast ""The Tell Show""",1
"17626","Is America Ready to Quit Coal?",0
"11874","What Does Your Choice In Colors Say About You",1
"1218","The Case For Queer Superhero Films",1
"4115","Which Avenger Are You Most Like Based On Your Zodiac Sign",1
"8465","Can We Guess If You're In Love",1
"16802","Coming Soon to Your Language: More of the Web",0
"14283","How Big A Scotch Whisky Fan Are You",1
"30239","How Google Decides to Pull the Plug",0
"6563","19 Heartbreaking Confessions From Men Suffering From Emotional Abuse",1
"17251","Venture Capital  Shifts to Efficiency From Alternative Fuel",0
"29358","US Senate debates Rove and intelligence access",0
"20883","Four Israeli Arabs killed by Army deserter",0
"20205","Kirchner Resigns as Party Leader in Argentina",0
"9803","The Cutest Couple In Comedy Solve All Your #LesbianProblems",1
"29712","Celebrity plastic surgeon Dr. Frank Ryan dies in car accident aged 50",0
"29736","F.D.A. Eases Rules on Off-Label Drug Prescriptions",0
"22281","Two arrests made in Zotob worm attack",0
"17202","Mugabe says he's open to talks with Zimbabwe opposition",0
"10844","23 Pictures That Are Way Too Real For Flight Attendants",1
"21114","Little Relief Expected for Flood-Ravaged Brazil",0
"664","22 Hilarious Holiday Cards For People Who Love Food",1
"27786","Police describe bloody evidence in NY Sen. Monserrate assault trial",0
"719","How Full Of Crap Is Your House",1
"16884","Nikolay Davydenko beats Rafael Nadal in Sony Ericsson Open",0
"3045","I Went On Tinder And Only Used Bernie Sanders Quotes",1
"27385","G20 protester dies after collapsing",0
"23200","Facing Texas in Tar Heels Territory, Duke Finds Little Support",0
"22757","Chinese TV Censors Part of Address by Obama",0
"8615","What It's Like To Date An Alcoholic",1
"24543","Double bomb blasts kill at least twelve in northern Caucasus",0
"8613","How Well Do You Remember Clark Griswold's Rant In ""Christmas Vacation?""",1
"25565","Eastern Indonesia struck by earthquake",0
"12428","Can You Identify The Popular Video Game Character By A Single Line Drawing",1
"12414","23 Signs That Cannot Be Trusted",1
"3598","The New Trailer For ""X-Men: Apocalypse"" Is Honestly Next-Level Insane",1
"28156","Administration Is Developing a Housing Rescue Plan",0
"29670","Scandal Topples Chief of Deutsche Bahn",0
"20084","Stimulus May Provide Relief for States and the Jobless on Health Insurance",0
"5136","8 Ways To Use Bi Invisibility To Your Advantage",1
"26895","New Zealand doctor starts smoking in protest",0
"9346","What People Said About Celebrities 9 Years Ago Vs. Today",1
"27201","Football: FSV Mainz 05 advance to semi-final of DFB Pokal",0
"13824","All Amy Adams Has To Do Is Walk And It Looks Like She's In A Shampoo Commercial",1
"28099","Attack on mosque kills 30 in Rawalpindi, Pakistan",0
"8696","People Speak To Their Dead Relatives For The First Time",1
"30153","Collection of signatures for the free part of the beach in Maiori, Italy",0
"29030","New Chief Defends U.S. Base for Agency That Manages Web",0
"17169","Events take place across UK to mark Remembrance Sunday",0
"28372","Pakistani Punjab police website hacked",0
"30847","Divisions Threaten Fair Election in Iraqi Province",0
"6789","An Adorable Animals Advent Calendar: December 5",1
"7131","What's The Strangest Way You've Lost A Tooth",1
"16236","Toronto transit union threatens strike for Monday",0
"24437","US military confirms three deaths after B-52 crash off Guam",0
"28488","Obama Repeats Threat to Veto Bill Over F-22 Jet",0
"1572","This Tiny Lion Can't Roar Yet But That's Fine Because He's Adorable",1
"20785","A Small Town Loses a Pillar: Its Only Bank",0
"18217","Heartbreaking Triage as Fargo Battles Floods",0
"18845","US and UK diplomats detained in Zimbabwe",0
"13269","15 Ways Your Brain Fools You On A Daily Basis",1
"10816","What It's Like To Be A Lesbian Couple With A 20-Plus-Year Age Difference",1
"4225","53 Insanely Creative Matching Tattoo Ideas",1
"16693","World-record wind speed confirmed",0
"7892","Which New Pentatonix Original Song Are You",1
"11114","What You Say To Someone Who's Grieving Vs. What They Hear",1
"4078","We Know Your Favorite Christmas Movie Based On What You're Hungry For",1
"7146","21 Tweets From ""Explain A Film Plot Badly"" That Will Make You Laugh",1
"25017","Grand Theft Auto under fire",0
"11096","19 Things People Living With Depression Want You To Know",1
"19573","Zimbabwe bound Chinese arms ship heads for Angola",0
"12597","How Well Do You Know The Lyrics To ""Reflection""",1
"16854","Obama Urges Passage of Energy Legislation",0
"11878","Are These People Holding Rabbits",1
"31282","US House of Representatives passes universal health care bill",0
"17744","61.6% of the Dutch people say 'no' to EU constitution",0
"1822","Who Do You Think The ""Scream Queens"" Red Devil Is",1
"1790","24 People Who Have Simply Stopped Caring",1
"24925","President of Poland Is Sanguine on Economy",0
"24450","New Zealand airlines relax knife regulations",0
"3144","22 People Who Are Keeping ""Yolo"" Alive",1
"9086","21 Of The World's Most Powerful People As Youngsters",1
"21070","Two German scientists claim to have broken the speed of light",0
"10148","Is This A Europa League Team Or ""Game Of Thrones"" Location",1
"8666","Get Ready To Indulge With BuzzFeed Tasty's Newsletter",1
"14504","Guys, There's A Tumblr That's Only Dedicated To Cakes In Bollywood Movies",1
"14837","Can You Guess The Lana Del Rey Music Video From The Screenshot",1
"31773","The Start of a Crisis, Through the Lens of Avis",0
"31560","Philadelphia Flyers beat Montreal Canadiens, 3-2",0
"21432","Jenson Button wins half of the 2009 Malaysian Grand Prix points",0
"455","19 Life Hacks That Will Make You Feel Like You Have Your Shit Together",1
"11892","Can You Match The Season 5 ""Gilmore Girls"" Quote To Who Said It",1
"6500","Director Of Adele's ""Hello"" Video Said The Reaction To Her Flip Phone ""Drives Me Crazy""",1
"7793","21 Secrets Anyone Dating An Actor Knows",1
"3306","19 Texts All Twentysomethings Have Sent Their Dad",1
"28132","Opposition claims Australian Treasurer misled parliament",0
"11385","24 Struggles Only People Who Have Gone Through Finals Week Will Understand",1
"6217","This Guy Proposed With A Custom Super Mario Brothers-Style Video Game",1
"30249","Judge Sentenced to Prison for Lying About Harassment",0
"24591","US unemployment fell to four-year low before Katrina",0
"11558","27 Gifts For People Who Care More About Food Than They Do You",1
"20542","Search continues for victims of Indonesian volcano eruption",0
"4486","This ""Would You Rather"" Game For ""Home Alone"" Is Almost Too Hard",1
"26244","British Airways enters merger talks with Iberia",0
"9251","Can We Guess The Contents Of Your Makeup Bag",1
"12669","18 Times Canada Confused The Hell Out Of Everyone On Tumblr",1
"22371","Sudan’s Vice President killed in helicopter crash",0
"14413","18 Things That Happen When Your Best Friend Comes Into Town",1
"31978","Rugby Union: Ballymore Cup North Queensland carnival",0
"5447","Hilary Duff's Son Luca Might Be An Actual Angel",1
"23193","Cobbled Effort Seeks to Fill Food Safety Vacuum",0
"30751","National Hockey League news: February 29, 2008",0
"8174","Everyone Made The Same ""Mean Girls"" Joke About Kris Jenner At The Victoria's Secret Fashion Show",1
"10789","Which Oscar-Nominated Actor Should You Hook Up With Based On One Question",1
"20480","Going Beyond the Waves to Reshape Surfing",0
"26588","Over one hundred die in Madrid plane crash",0
"23271","Immigration Agents to Turn Focus to Employers",0
"29724","Algiers protest takes place despite ban",0
"20468","Germany Has Responded Slowly to Bank Crisis",0
"18494","U.S. prepares for arrival of Hurricane Sandy",0
"17556","British conductor Edward Downes and wife die in double assisted suicide",0
"17181","Hong Kong 'tutor king' applies for bankruptcy",0
"31942","Natural gas odor permeates New York and Jersey Cities",0
"26172","Sixteen Christian converts arrested in Iran; facing death penalty",0
"20456","With Power and Guile, Red Sox Finish Sweep of Yankees",0
"5057","14 People Who You Totally Have Saved In Your Phone",1
"23836","Secret memos reveal Bush administration endorsed enhanced interrogation techniques",0
"29006","Wikinews Shorts: September 4, 2010/Abbas, Netanyahu to meet regularly",0
"10271","43 Times We Were Obsessed With Tracee Ellis Ross",1
"5388","What Would Zooey Deschanel Name You",1
"30813","Vick, Out of Prison, to Work With Humane Society",0
"11564","What's Your Craziest Bachelorette Party Experience",1
"2762","15 Trivia Questions Every True Disney Fan Should Be Able To Answer",1
"25186","In the End, Henrik Lundqvist Comes Up a Save Short",0
"11546","How Ready For Valentine's Day Are You Really",1
"17649","Five Irish schoolgirls die in bus crash",0
"30753","Portuguese government resigns",0
"11260","We Know How Much You Like Your Job",1
"24196","Responsibility claim for London attacks questioned by experts",0
"14773","17 Celebrity Instagrams You Need To See This Week",1
"31840","Wikinews interviews Gene Amondson, Prohibition Party presidential nominee",0
"18649","European Union Looks to Tighten Banking Supervision",0
"27416","Condemned US killer to face execution by firing squad",0
"31525","Lesnar Defends His U.F.C. Title",0
"18540","Missile Strike Kills 4 in Pakistan",0
"22799","Oozing Through Texas Soil, a Team of Amoebas Billions Strong",0
"5390","I Tweeted That Ariana And Frankie Grande Were ""The New Michael And Janet"" And People Freaked The Fuck Out",1
"31824","Runways 'destroyed' at Libya’s Benina International Airport",0
"30929","Wait for the Next Edition of the Cool-er, a Kindle Rival",0
"7151","What Does It Mean To ""Hook Up"" With Someone",1
"21842","AMD files antitrust lawsuit against Intel in US federal district court",0
"22113","Off the Charts, in the Wrong Direction",0
"18144","In Rout, Gonzaga Wins West Coast Conference Title",0
"5704","20 Perfect Pins For People Who Simply Cannot",1
"22069","Two dead in Michigan college shooting",0
"4664","This Veterinarian Ate With A Neglected Dog In A Cage To Make Her Feel Comfortable",1
"13290","Try These Cocktails While You Watch Your Favorite CW Show",1
"13031","Guess The Ex: Jordan & Jacob",1
"30407","Delta Plans More Cuts on International Routes",0
"28635","Sasha Cohen, Lacking an Olympic Gold Medal, Considers a Comeback",0
"4075","15 Movie And TV Retrospectives From 2015 That Will Make You Nostalgic",1
"28082","Getting Specific in Order to Get Confirmed",0
"15104","What My Accident Taught Me About Being Unmarried In India",1
"14537","I Tried To Find The Perfect Nude Lipstick On The High Street",1
"27540","Iraqi gasoline is the cheapest in the world at $.05 per gallon",0
"21858","FDA backs clone meat",0
"23909","At Cornell, a Player With an N.B.A. Pedigree Stands Out",0
"11613","There's Now Weed For Menstrual Cramps That You Stick In Your Vagina",1
"28162","Winners and Losers in a Bigger Best-Picture Pool",0
"4212","14 Powerful Quotes That Will Make You Hopeful For The Future",1
"10235","Here's The Epic Road Trip That Lets You Spend The Whole Year In 70-Degree Weather",1
"31363","At least 40 killed by bombing in Pakistan",0
"15215","I'm A Republican, But I'm Not",1
"15782","11 Ways To Definitely Look Like You Got Your Sh!t Together",1
"19454","Mugabe Aides Said to Use Violence to Get Amnesty",0
"21737","German Wikipedia DVD sells out first 10,000-copy run",0
"7439","Zac Efron Wore A ""Bae Watch"" Shirt To ""Baywatch"" Rehearsal",1
"30364","Medical helicopter crashes in Tucson, Arizona, kills all on board",0
"9655","What Happens When People Taste-Test Food In Pitch-Black Darkness",1
"9413","14 Green Smoothies For People Who Can Still Taste The Kale",1
"27868","Cat in Rhode Island, USA nursing home 'senses death'",0
"462","The ""Star Wars"" Cast Recorded An A Cappella Version Of The Famous Theme",1
"10149","What Is Your Penis Horror Story",1
"22827","Signs G.O.P. Is Rethinking Stance on Gay Marriage",0
"10475","21 Hilarious Tweets That Perfectly Capture Your Feelings About Dating",1
"20433","Afghanistan's parliament rejects Karzai's cabinet nominations",0
"23041","Selling Stimulus, Obama Tours Battleground States",0
"9690","How Well Do You Know ""The Last Of Us""",1
"10413","Sharon Osbourne Tweeted Something Really Weird At Shaquille O'Neal",1
"12129","Men Have Learned How To Braid Their Hair And They're Not Looking Back",1
"29779","Palestinian official newspapers: Israel uses super rats against Jerusalem Arabs",0
"26074","That One Small Step Is Still Hard to Measure",0
"29079","Rail explosion reported at Viareggio, Italy",0
"14660","38 Cheap Pairs Of Shoes That Look Like A Million Bucks",1
"24272","Canadian 2007 Genie Award nominations announced",0
"18417","British rapper Derek B dies at age 44",0
"731","15 Christmas Emojis You Could Definitely Use Right Now",1
"28857","Funeral of Pope John Paul II takes place",0
"23423","Ex-Broker Charged in Fraud Is Captured",0
"16230","Hser Nar Moo, missing Utah girl, found dead",0
"19197","Despite Kyrgyz Vote to Close U.S. Base, Gates Explores Options to Keep It Open",0
"13492","Read This If You Just Got An iPhone For Christmas",1
"31184","Case Could Open Borders of Doping Fight in Cycling",0
"20189","New South Wales water supply problems continue",0
"12781","27 Clever Ways To Remember All Your Shit",1
"21155","Woman dies after being struck by fire truck hose in Cambridge, Massachusetts",0
"28490","Italian ambassador to South Africa dies in accident",0
"966","Here Are 4 Borderline Genius Waffles You Need To Try",1
"10684","Which Biblical City Should You Live In",1
"9383","Can You Identify These Distorted Celebrity Faces",1
"22577","Pacific Rim braces for tsunami following major Chilean earthquake",0
"26593","Lions Keep Up Their Losing Ways",0
"5591","32 Of The Greatest Things That Happened On Tumblr In 2015",1
"28350","At least eight dead after drone strikes in Pakistan",0
"22177","Critic of Chechen President Is Killed in Exile in Vienna",0
"24867","Hamas begins to use force to release Alan Johnston",0
"28555","Finnish terrestrial analogue TV network shut down",0
"4749","You Should Be Eating Pork And Avocado Sandwiches For Dinner",1
"24823","Darfurian Rebel Commander to Face War Crimes Charges",0
"2482","Friendly Reminder That Joseph Gordon-Levitt Was The Most Adorable Child",1
"6885","Depending On How You Look At It Scientology Had A Great Year",1
"19772","New Ad Campaigns Look Back at the 1930s",0
"15706","17 Songs That Will Make Your Workout Merry AF",1
"3418","15 Things People Who Talk To Themselves Will Understand",1
"27560","A Ham Radio Weekend for Talking to the Moon",0
"2722","Tom Brady Has Never Tried Coffee Before In His Life, Just Because",1
"19268","UK scientists advise heart attack-susceptible to get flu shot",0
"56","18 Things Everyone Who Hates PDA Will Understand",1
"7193","22 Times Elf On The Shelf Went Way Too Far",1
"17318","Irish inflation creeps upwards to 2.4%",0
"27729","Showing Off Your Solutions in a White Paper",0
"24024","S.E.C. to Propose Change in Board Elections",0
"29001","Xbox 360 shortages expected on debut day in Europe",0
"8109","43 Things That Mildly Irritate Everyone Who Goes To The Gym",1
"4590","21 Times We All Fell Head Over Heels For Oscar Isaac",1
"30430","State of emergency declared in Greece after heavy forest fires",0
"31572","AFC Asian Cup: 2007 tournament commences; Thailand and Iraq draw 1-1",0
"24267","Strauss-Kahn case dismissed",0
"11158","19 Pictures That Sum Up Life When You're Bad At Math",1
"3552","12 Insanely Silly Secret Santa Gifts That Won't Break The Bank",1
"10344","17 Times The Internet Perfectly Summed Up Being A Sagittarius",1
"5123","What Do You Wish You Knew Before You Went To College",1
"6803","Can You Identify The Architectural Landmark By One Small Detail",1
"4257","Jennifer Lawrence Has Never Looked Better Than She Did Last Night",1
"10624","Are You More Kathie Lee Or Hoda",1
"31156","Clinton Offers Words of Reassurance While in Japan",0
"127","27 Pictures That Are Way Too Real If You Have A Four-Person Family",1
"28932","No. 2 Duke Routs Maryland",0
"17101","Mexico Posts Are Blitzed After Arrest in Drug War",0
"28732","9/11 conspirator Moussaoui ejected from court",0
"14145","Marceline The Vampire Queen Ranks Her 13 Favorite Vampires",1
"10688","Which Is The Best ""Star Trek"" Movie Of All Time",1
"31208","Deaths in Philippines ferry accidents",0
"12469","29 Times Supermodels Completely Dominated The Fashion World",1
"30206","Perez Struggles Again as Mets Revert to Bad Habits",0
"29829","Prosecution in Asbestos Poisoning of Montana Town Is Forced to Go on Defense",0
"13930","Here's How To Actually Do A Killer Abs Workout In Just 15 Minutes",1
"26028","Village Raids Kill Over 200 in the South of Sudan",0
"7715","Reese Witherspoon Just Called Out Hollywood Ageism And Sexism And It Was Beautiful",1
"15737","17 Times ""You're The Worst"" Was The Most Romantic Show On TV",1
"23831","Retrial Ordered in Killing of a Russian Journalist",0
"28573","Latvia Is Shaken by Riots Over Its Weak Economy",0
"12579","17 Times Ben H. From ""The Bachelor"" Was Adorable On Instagram",1
"17060","Scientist Stephen Hawking rushed to hospital in ambulance",0
"10185","24 Situations That Will Make You Cringe Until You Cry",1
"22903","In a First, U.S. Provides Pakistan With Drone Data",0
"29283","NHC upgrades Tropical Depression Four-E to Tropical Storm Carlos",0
"5795","An Adorable Animals Advent Calendar: December 1",1
"148","This Guy's Cheese Vine Perfectly Sums Up How Silly The Daily Mail Is",1
"12438","Can You Identify These Disney Movies From Just The Backgrounds",1
"121","Mark Ruffalo Posted A Shirtless Pic Promoting Breast Cancer Awareness For Men",1
"24745","Fred Thompson's 'exploration’ causes confusion on USA election rules",0
"8790","Here's The Evolution Of Barbie's Face Over 56 Years",1
"1491","Which Member Of BTS Are You",1
"28780","Far Right Is Left Out at E.U.'s Assembly",0
"19199","Ten killed by suicide bomber in southern Afghanistan",0
"10770","23 Super Cute Contact Paper DIYs To Transform Your Home",1
